song_name,first_position,first_credit,second_position,second_credit,third_position,third_credit,fourth_position,fourth_credit
Kurumugil Lyrical Video Song - Sita Ramam (Tamil),Kamal Haasan,male actor,"Vikram, Amy Jackson",male and female actor,,,,
VIKRAM Title Track Lyric,Yosichi Yosichi Lyric Video,,Dhanush,male actor,,,,
VIKRAM - Porkanda Singam EDM Video,"Sivakarthikeyan, Priyanka Mohan",male and female actor,A.R. Rahman,music director,,,,
Andhagan The Pianist,Chiyaan Vikram,male actor,Karthi,male actor,,,,
Don - Private Party Music Video,Vignesh Shivan,music director,STR,male actor,,,,
Kaathuvaakula Rendu Kaadhal - Dippam Dappam Lyric,"Sam Jones, Anandhi",male and female actor,Shanthnu,male actor,,,,
Partner - Raati Lyric,A.R. Rahman,music director,"Rajinikanth, Deepika",male and female actor,,,,
Nadhi - Kathari Poovasam Lyric,Silambarasan TR,male actor,"Siddharth, Prithviraj",male actor,,,,
MAAMANNAN - Manna Maamanna Lyric,Chiyaan Vikram,male actor,Rahman,male actor,,,,
Pathu Thala - Namma Satham Video,A.R. Rahman,music director,"Rajinikanth, Deepika",male and female actor,,,,
Cobra - Thumbi Thullal Lyric,A.R. Rahman,music director,Shanthnu,male actor,,,,
MAAMANNAN - Jigu Jigu Rail Lyric,A.R. Rahman,music director,A.R. Rahman,music director,,,,
Chekka Chivantha Vaanam - Mazhai Kuruvi Video (Tamil),A.R. Rahman,music director,A.R. Rahman,music director,,,,
MAAMANNAN - Nenjame Nenjame Lyric,Silambarasan TR,male actor,A.R. Rahman,music director,,,,
Pathu Thala - Ninaivirukka Promotional Video,A.R. Rahman,music director,A. R Rahman,music director,,,,
Pathu Thala - Nee Singam Dhan Video,"Vijay, Samantha",male and female actor,Kamal Haasan,male actor,,,,
I - Pookkalae Sattru Oyivedungal Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Mersal - Neethanae Tamil Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
I - Ennodu Nee Irundhaal Video,Vijay,male actor,Anirudh Ravichander,music director,,,,
Maryan - Innum Konjam Naeram Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Sarkar - Top Tucker Lyric Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Kaatru Veliyidai - Saarattu Vandiyila Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Vinnaithaandi Varuvaayaa - Omana Penne Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Kadal - Moongil Thottam Video,A.R. Rahman,music director,Dhanush,male actor,,,,
Guru (Tamil) - Aaruyirae Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Aayitha Ezhuthu - Yaakkai Thiri Tamil Lyric Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Kaaviyathalaivan - Aye Mr. Minor Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Kadal - Elay Keechan Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Sakkarakatti - Taxi Taxi Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Kochadaiiyaan - Idhayam Video,"Dhanush, Parvathy Menon",male and female actor,Sivakarthikeyan,male actor,,,,
Kaaviyathalaivan - Yaarumilla Video,A.R. Rahman,music director,Anirudh Ravichander,music director,,,,
Maryan - Sonapareeya Video,A.R. Rahman,music director,Sivakarthikeyan,male actor,,,,
Kochadaiiyaan - Medhuvaagathaan Video,A.R. Rahman,music director,Sivakarthikeyan,male actor,,,,
Sakkarakatti - Chinnama Chilakamma Video,Chiyaan Vikram,male actor,Anirudh Ravichander,music director,,,,
Kadal - Adiye Video,Chiyaan Vikram,male actor,Anirudh Ravichander,music director,,,,
Cobra - Adheeraa Lyric,Chiyaan Vikram,male actor,Anirudh Ravichander,music director,,,,
