Years active 2011,Name,Languages
2012–present,Tony Kakkar,Hindi
2012–present,Thomson Andrews,"Hindi, Tamil, Telugu, Bengali, Tulu, Malayalam"
1946–2013,T. M. Soundararajan,"Tamil, Telugu, Kannada, Malayalam, Hindi"
1980–present,Udit Narayan,"Nepali, Hindi, Bengali, Angika, Telugu, Tamil, Maithili, Bhojpuri, Punjabi, Gujarati, Odia, Urdu, Tulu, Kannada, Malayalam[citation needed]"
1981–present,Unni Menon,"Malayalam, Tamil, Telugu, Kannada"
2020–present,Udit Swaraj,"Hindi, English"
1995–present,Unnikrishnan,"Tamil, Malayalam, Telugu, Kannada"
2000–present,Vijay Yesudas,"Malayalam, Tamil, Telugu, Kannada, Hindi"
2005–present,Vishal Dadlani,"Hindi, English, Bengali"
1994–present,Joseph Vijay,Tamil
2004–present,Vedala Hemachandra,Telugu
2004–present,Vijay Prakash,"Hindi, Kannada, Telugu, Tamil, Marathi"
2002–present,Vineeth Sreenivasan,"Malayalam, Tamil, Kannada"
1986 – present,Vinod Rathod,"Hindi, Bengali, Gujarati, Punjabi, Nepali"
1999–present,Vishal Dadlani,"Hindi, Telugu, Marathi"
2015 – present,Vishal Mishra,"Hindi, Tamil, Telugu"
2009–present,Yasser Desai,Hindi
2009–present,Yo Yo Honey Singh,"Hindi, Punjabi, English"
1992–present,Zubeen Garg,"Hindi, Assamese, Bengali, Sanskrit, English, Tamil, Telugu, Kannada, Malayalam, Odia, Nepali, Marathi, Urdu, Adi, Bishnupriya Manipuri, Bhojpuri, Deori, Karbi, Kachari, Khasi, Kokborok, Mising, Nishi, Sadri, Sindhi, Tiwa, Goalpariya (dialect), Barpetia (dialect), Sambalpuri (dialect)"
"
",,
"
",,
