Years active 2018,Name,Language
1994–present,Suzanne D'Mello,"Tamil, Telugu, Hindi"
1987–2010,Swarnalatha,"Tamil, Telugu, Malayalam, Kannada, Hindi, Urdu, Punjabi, Badaga, Bengali, Odia, Nepali, Marathi, Sinhalese and Others"
2004–present,Tanvi Shah,"Tamil, Telugu, Hindi"
1995–present,Tarali Sarma,Assamese
2006–present,Tulsi Kumar,"Hindi, Bengali"
1999–present,Usha,Telugu
1960–present,Usha Khanna,"Hindi, Urdu, Odia"
1954–present,Usha Mangeshkar,"Marathi, Hindi, Assamese, Gujarati, Bengali, Nepali, Odia, Urdu"
1966–present,Usha Uthup,"Tamil, Telugu, Hindi, Assamese, Marathi, Bengali, Gujarati, Punjabi, English, Russian, Czech, Nepali, Malay, Malayalam, Kannada, Odia"
2012-present,Uthara Unnikrishnan,"Tamil, Telugu"
2013–present,Vaikom Vijayalakshmi,"Malayalam, Tamil, Kannada"
2000–present,Vaishali Samant,"Marathi, Hindi"
2012–present,Vandana Srinivasan,Tamil
1971–2023,Vani Jayaram,"Telugu. Hindustani, Tamil, Marathi, Gujarati, Bhojpuri, Hariyanvi, Odia, Bengali, Malayalam, Kannada"
1994–present,Vasundhara Das,"Tamil, Telugu, Hindi, Malayalam, Kannada"
2022–present,Yohani De Silva,"English, Hindi, Sinhala, Tamil, Telugu, Malayalam"
